run,seed,size,algo,impl,heuristic,dup,shuffle,max_nodes,max_bytes,status,solution_len,optimal,generated,expanded,duplicates,improved,open_max,closed,bytes_peak,hash_probes,iterations,last_iter_generated,max_depth,seconds
133,134,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,853,318,344,2,191,319,37230,0.000,0,0,0,0.000469000
134,135,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,6138,2320,2611,45,1207,2321,257544,0.000,0,0,0,0.028055000
135,136,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,5615,2104,2386,42,1125,2105,235717,0.000,0,0,0,0.022610000
136,137,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,490,184,191,0,116,185,21827,0.000,0,0,0,0.000175000
137,138,3,astar,list,manhattan,gcompare,200,0,0,ok,16,-1,137,49,54,0,34,50,6059,0.000,0,0,0,0.000021000
138,139,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,7548,2842,3235,64,1471,2843,314922,0.000,0,0,0,0.047335000
139,140,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3071,1151,1268,21,652,1152,131619,0.000,0,0,0,0.005831000
140,141,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,7856,2946,3333,70,1577,2947,330179,0.000,0,0,0,0.048037000
141,142,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1371,517,579,15,276,518,57889,0.000,0,0,0,0.001154000
142,143,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,8393,3130,3595,56,1668,3131,350254,0.000,0,0,0,0.054728000
143,144,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2532,943,1056,15,534,944,107821,0.000,0,0,0,0.003848000
144,145,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,730,274,291,4,166,275,32120,0.000,0,0,0,0.000365000
145,146,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1011,375,408,2,228,376,44019,0.000,0,0,0,0.000665000
146,147,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,6564,2452,2760,49,1353,2453,277765,0.000,0,0,0,0.035562000
147,148,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,9865,3722,4227,100,1916,3723,411574,0.000,0,0,0,0.079776000
148,149,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,4369,1657,1857,31,855,1658,183376,0.000,0,0,0,0.013044000
149,150,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,7660,2867,3261,56,1532,2868,321127,0.000,0,0,0,0.045762000
150,151,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3286,1229,1355,19,702,1230,140963,0.000,0,0,0,0.006667000
151,152,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,3589,1352,1489,20,748,1353,153373,0.000,0,0,0,0.008587000
152,153,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,6341,2368,2648,44,1326,2369,269662,0.000,0,0,0,0.032802000
153,154,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1639,614,661,5,364,615,71467,0.000,0,0,0,0.001637000
154,155,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,7145,2701,3036,57,1408,2702,300030,0.000,0,0,0,0.039231000
155,156,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1607,598,639,3,370,599,70664,0.000,0,0,0,0.001604000
